addr,size,ninsn,ncallers,ncallees,nstr,first_str
0x0202bec6,52,23,2,1,0,""
0x0202befa,24,9,2,1,0,""
0x0202bf12,42,16,2,0,0,""
0x0202bf3c,248,95,2,4,0,""
0x0202c034,130,52,4,5,0,""
0x0202c0b6,282,108,1,2,0,""
0x0202c1d0,568,204,3,10,0,""
0x0202c408,32,12,3,0,0,""
0x0202c428,330,132,3,4,0,""
0x0202c572,158,59,4,3,0,""
0x0202c610,684,252,2,15,0,""
0x0202c8bc,40,16,2,1,0,""
0x0202c8e4,934,336,1,17,0,""
0x0202cc8a,1238,426,2,22,0,""
0x0202d160,16,7,2,1,0,""
0x0202d170,122,53,3,4,0,""
0x0202d1ea,166,60,7,1,0,""
0x0202d290,508,177,2,7,0,""
0x0202d48c,468,173,2,12,0,""
0x0202d660,684,238,1,8,0,""
0x0202d90c,604,212,3,4,0,""
0x0202db68,306,106,4,3,0,""
0x0202dc9a,430,158,0,8,0,""
0x0202de48,658,241,0,14,0,""
0x0202e0da,704,252,1,17,0,""
0x0202e39a,224,80,1,7,0,""
0x0202e47a,34,15,1,4,0,""
0x0202e49c,232,90,1,1,0,""
0x0202e584,100,40,2,3,0,""
0x0202e5e8,604,199,0,12,0,""
0x0202e844,14,4,1,1,0,""
0x0202e852,14,4,1,1,0,""
0x0202e860,122,48,3,6,0,""
0x0202e8da,82,36,2,2,0,""
0x0202e92c,772,271,4,8,0,""
0x0202ec30,232,76,1,2,0,""
0x0202ed18,422,148,0,6,0,""
0x0202eebe,154,56,1,0,0,""
0x0202ef58,180,66,2,4,0,""
0x0202f00c,66,24,2,0,0,""
0x0202f04e,74,22,2,2,0,""
0x0202f098,112,41,1,3,0,""
0x0202f108,120,40,3,7,0,""
0x0202f180,184,63,1,6,0,""
0x0202f238,134,57,4,3,0,""
0x0202f2be,42,17,1,1,0,""
0x0202f2e8,36,17,2,1,0,""
0x0202f30c,34,16,2,1,0,""
0x0202f32e,34,15,1,1,0,""
0x0202f350,100,37,1,2,0,""
0x0202f3b4,1302,422,0,16,0,""
0x0202f8ca,112,46,0,1,0,""
0x0202f93a,404,155,1,5,0,""
0x0202face,348,128,0,10,0,""
0x0202fc2a,182,68,1,5,0,""
0x0202fce0,150,55,1,5,0,""
0x0202fd76,124,48,1,4,0,""
0x0202fdf2,330,111,1,6,0,""
0x0202ff3c,448,155,1,12,0,""
0x020300fc,160,58,1,4,0,""
0x0203019c,160,63,1,2,0,""
0x0203023c,188,70,2,7,0,""
0x020302f8,220,81,1,6,0,""
0x020303d4,212,86,1,7,0,""
0x020304a8,208,72,3,1,0,""
0x02030578,1678,646,1,33,0,""
0x02030c06,408,134,1,11,1,"1C008"
0x02030d9e,114,37,1,4,0,""
0x02030e10,548,188,5,18,0,""
0x02031034,50,22,2,0,0,""
0x02031066,38,14,2,0,0,""
0x0203108c,114,40,2,0,0,""
0x020310fe,70,21,2,1,0,""
0x02031144,130,34,3,0,0,""
0x020311c6,348,122,2,1,0,""
0x02031322,2292,783,3,2,0,""
0x02031c16,692,207,1,2,0,""
0x02031eca,304,109,2,1,1,"Tempo"
0x02031ffa,360,100,2,4,0,""
0x02032162,114,39,2,0,0,""
0x020321d4,64,21,2,1,0,""
0x02032214,6,3,2,0,0,""
0x0203221a,30,9,2,0,0,""
0x02032238,778,250,0,10,0,""
0x02032542,114,38,1,2,0,""
0x020325b4,720,234,0,9,0,""
0x02032884,848,261,0,20,0,""
0x02032bd4,12,5,1,0,0,""
0x02032be0,1112,349,0,20,0,""
0x02033038,14,4,3,1,0,""
0x02033046,228,80,2,5,0,""
0x0203312a,34,12,2,0,0,""
0x0203314c,96,35,1,1,0,""
0x020331ac,40,15,2,1,0,""
0x020331d4,118,45,1,2,0,""
0x0203324a,158,65,0,5,0,""
0x020332e8,62,23,1,3,0,""
0x02033326,46,19,1,0,0,""
0x02033354,1188,395,0,21,0,""
0x020337f8,756,248,0,9,0,""
0x02033aec,406,136,1,6,0,""
0x02033c82,184,62,2,0,0,""
0x02033d3a,398,129,2,3,0,""
0x02033ec8,20,6,1,0,0,""
0x02033edc,54,15,2,0,0,""
0x02033f12,38,13,1,0,0,""
0x02033f38,122,41,1,2,0,""
0x02033fb2,192,65,1,6,0,""
0x02034072,28,9,1,0,0,""
0x0203408e,28,9,1,0,0,""
0x020340aa,20,6,1,0,0,""
0x020340be,114,38,2,0,0,""
0x02034130,120,43,1,8,0,""
0x020341a8,28,9,1,0,0,""
