addr,size,ninsn,ncallers,ncallees,nstr,first_str
0x0202b53a,146,53,2,6,0,""
0x0202b5cc,26,10,2,0,0,""
0x0202b5e6,88,31,2,0,0,""
0x0202b63e,20,10,1,0,0,""
0x0202b652,162,68,4,4,0,""
0x0202b6f4,24,10,4,1,0,""
0x0202b70c,112,40,3,3,0,""
0x0202b77c,52,23,2,1,0,""
0x0202b7b0,24,9,2,1,0,""
0x0202b7c8,42,16,2,0,0,""
0x0202b7f2,248,95,2,4,0,""
0x0202b8ea,130,52,4,5,0,""
0x0202b96c,282,108,1,2,0,""
0x0202ba86,568,204,3,10,0,""
0x0202bcbe,32,12,3,0,0,""
0x0202bcde,330,132,3,4,0,""
0x0202be28,158,59,4,3,0,""
0x0202bec6,684,252,2,15,0,""
0x0202c172,40,16,2,1,0,""
0x0202c19a,934,336,1,17,0,""
0x0202c540,1238,426,2,22,0,""
0x0202ca16,16,7,2,1,0,""
0x0202ca26,122,53,3,4,0,""
0x0202caa0,166,60,7,1,0,""
0x0202cb46,508,177,2,7,0,""
0x0202cd42,468,173,2,12,0,""
0x0202cf16,684,238,1,8,0,""
0x0202d1c2,604,212,3,4,0,""
0x0202d41e,306,106,4,3,0,""
0x0202d550,430,158,0,8,0,""
0x0202d6fe,658,241,0,14,0,""
0x0202d990,704,252,1,17,0,""
0x0202dc50,224,80,1,7,0,""
0x0202dd30,34,15,1,4,0,""
0x0202dd52,232,90,1,1,0,""
0x0202de3a,100,40,2,3,0,""
0x0202de9e,604,199,0,12,0,""
0x0202e0fa,14,4,1,1,0,""
0x0202e108,14,4,1,1,0,""
0x0202e116,122,48,3,6,0,""
0x0202e190,82,36,2,2,0,""
0x0202e1e2,772,271,4,8,0,""
0x0202e4e6,232,76,1,2,0,""
0x0202e5ce,422,148,0,6,0,""
0x0202e774,154,56,1,0,0,""
0x0202e80e,180,66,2,4,0,""
0x0202e8c2,66,24,2,0,0,""
0x0202e904,74,22,2,2,0,""
0x0202e94e,112,41,1,3,0,""
0x0202e9be,120,40,3,7,0,""
0x0202ea36,184,63,1,6,0,""
0x0202eaee,134,57,4,3,0,""
0x0202eb74,42,17,1,1,0,""
